data,class
이데일리 김정현 기자 원 달러 환율 폭 상승 마감 날 원 달러 환율 방향 견인 국내외 모멘텀 것 다만 수입 업체 결제 수요 달러화 점 매수 유입 환율 상승 것 풀이 ,0
코스피 거래 일 반등 코스피지수 전 거래 일보 포인트 오른 장 코스닥 수도 포인트 급등 를 기록 안팎 오른 미국 중국 등 국 증시 비교 가장 상 승률 ,0
코스피 거래 일 반등 코스피지수 전 거래 일보 포인트 오른 장 코스닥 수도 포인트 급등 를 기록 안팎 오른 미국 중국 등 국 증시 비교 가장 상 승률 ,0
지난주 무역 분쟁 격화 환율 요동 일본 갈등 폭락 ,0
중국 지표 발표 트럼프 입 주시 코스피 선 예상 ,0
실적 시즌 마감 인플레이션 기대 반도체 자동차 배당 주목 미국 중국 무역 분쟁 격화 환율 폭락 국내 증시 이번 주 반등 기회 마련 전망 무역 분쟁 지속 영향 마땅 국내 주식 살 주체 일 전쟁 대한 우려 때문 이로 당분간 관망 세 가운데 중 무역 분쟁 관련 뉴스 위안화 가치 변동 등락 장세 지속 것 ,0
숨 강동 송파 서초 아파트 값 상 승률 뚝 ,1
뉴시스 관심 등록 ,1
서울 재건축 일반 아파트 모두 전주 대비 상승 폭 축소 ,1
일산 이번 주 하락 신도시 중 최대 낙폭 ,1
임병철 부동산 수석 연구원 집값 상승세 제동 것 서울 뉴시스 고범준 기자 서울 강남 지역 전세 공급 부족 정도 지표 최저 수준 주택 시장 동향 지난달 기준 서울 강남 세수 지수 로 기준 를 기록 이후 가장 수준 세수 지수 전세 공급 부족 정도 지표 수치 전세 공급 부족 전세 수요 부족 뜻 사진 오후 서울 송파구 서울 아파트 단지 모습 서울 뉴시스 박영환 기자 민간 택지 분양 상한 제 도입 초읽기 서울 아파트 값 오름 폭 크게 둔화 재건축 일반 아파트 모두 상승 폭 ,1
송파 헬리 오 프리미엄 ,1
아시아 경제 관심 등록 ,1
민간 택지 분양 상한 제 여파 새 아파트 수요 ,1
최초 분양 ,1
최근 배 ,1
주간 청량리역 롯데 캐슬 등 가구 ,1
닥터 아파트 ,1
월 마지막 주 청약물량 곳 가구 모델하우스 곳 오픈 예정 당첨 발표 곳 당첨 계약 곳 ,1
서울 셋값 상 승률 전주 ,1
분양 상한 제 기준금리 인하 상방 압력 요인 ,1
